experiment,sequence,status,reused,runtime_sec,jm,jr,psnr,ssim,mask_pairs_used,frame_pairs_used,output_dir,output_video,log_path,error
sam3_diffueraser,bear,ok,False,168.244,0.9708454740923791,1.0,,,82,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_diffueraser/bear,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_diffueraser/bear/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_diffueraser/bear.log,
sam3_diffueraser,blackswan,ok,False,111.688,0.9548772019287449,1.0,,,50,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_diffueraser/blackswan,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_diffueraser/blackswan/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_diffueraser/blackswan.log,
sam3_diffueraser,bmx-bumps,ok,False,232.794,0.41352265778168484,0.5555555555555556,,,90,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_diffueraser/bmx-bumps,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_diffueraser/bmx-bumps/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_diffueraser/bmx-bumps.log,
sam3_diffueraser,bmx-trees,ok,False,220.23,0.5623958728911064,0.7625,,,80,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_diffueraser/bmx-trees,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_diffueraser/bmx-trees/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_diffueraser/bmx-trees.log,
sam3_diffueraser,boat,ok,False,154.211,0.7636570183666314,1.0,,,75,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_diffueraser/boat,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_diffueraser/boat/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_diffueraser/boat.log,
sam3_diffueraser,breakdance,ok,False,554.574,0.16282231735173283,0.0,,,84,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_diffueraser/breakdance,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_diffueraser/breakdance/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_diffueraser/breakdance.log,
sam3_diffueraser,breakdance-flare,ok,False,161.722,0.9621112523237215,1.0,,,71,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_diffueraser/breakdance-flare,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_diffueraser/breakdance-flare/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_diffueraser/breakdance-flare.log,
sam3_diffueraser,bus,ok,False,159.262,0.9179917008402277,1.0,,,80,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_diffueraser/bus,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_diffueraser/bus/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_diffueraser/bus.log,
sam3_diffueraser,camel,ok,False,179.985,0.6791615511218472,0.9111111111111111,,,90,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_diffueraser/camel,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_diffueraser/camel/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_diffueraser/camel.log,
sam3_diffueraser,car-roundabout,ok,False,331.76,0.7385086418050112,0.84,,,75,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_diffueraser/car-roundabout,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_diffueraser/car-roundabout/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_diffueraser/car-roundabout.log,
sam3_diffueraser,car-shadow,ok,False,133.354,0.8971632297690222,1.0,,,40,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_diffueraser/car-shadow,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_diffueraser/car-shadow/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_diffueraser/car-shadow.log,
sam3_diffueraser,car-turn,ok,False,137.649,0.9815261637794201,1.0,,,80,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_diffueraser/car-turn,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_diffueraser/car-turn/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_diffueraser/car-turn.log,
sam3_diffueraser,cows,ok,False,197.183,0.9534147927341332,1.0,,,104,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_diffueraser/cows,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_diffueraser/cows/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_diffueraser/cows.log,
sam3_diffueraser,dance-jump,ok,False,381.053,0.38193970075968736,0.016666666666666666,,,60,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_diffueraser/dance-jump,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_diffueraser/dance-jump/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_diffueraser/dance-jump.log,
sam3_diffueraser,dance-twirl,ok,False,767.965,0.27919940256434933,0.0,,,90,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_diffueraser/dance-twirl,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_diffueraser/dance-twirl/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_diffueraser/dance-twirl.log,
sam3_diffueraser,dog,ok,False,110.059,0.957382529941162,1.0,,,60,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_diffueraser/dog,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_diffueraser/dog/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_diffueraser/dog.log,
sam3_diffueraser,dog-agility,ok,False,62.969,0.9376151102162698,1.0,,,25,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_diffueraser/dog-agility,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_diffueraser/dog-agility/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_diffueraser/dog-agility.log,
sam3_diffueraser,drift-chicane,ok,False,112.752,0.5093084372846829,0.5769230769230769,,,52,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_diffueraser/drift-chicane,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_diffueraser/drift-chicane/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_diffueraser/drift-chicane.log,
sam3_diffueraser,drift-straight,ok,False,169.648,0.8586647236819736,0.94,,,50,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_diffueraser/drift-straight,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_diffueraser/drift-straight/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_diffueraser/drift-straight.log,
sam3_diffueraser,drift-turn,ok,False,136.021,0.956222935291422,1.0,,,64,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_diffueraser/drift-turn,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_diffueraser/drift-turn/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_diffueraser/drift-turn.log,
sam3_diffueraser,elephant,ok,False,164.306,0.9570467857308194,1.0,,,80,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_diffueraser/elephant,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_diffueraser/elephant/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_diffueraser/elephant.log,
sam3_diffueraser,flamingo,ok,False,254.636,0.425646876123191,0.0,,,80,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_diffueraser/flamingo,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_diffueraser/flamingo/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_diffueraser/flamingo.log,
