part,sequence,status,reused,runtime_sec,jm,jr,mask_pairs_used,output_dir,output_video,log_path,error
part2,bear,ok,False,77.904,0.9675806680339709,1.0,82,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/experiments/part2/bear,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/experiments/part2/bear/part2_inpainted.mp4,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/logs/part2/bear.log,
part2,blackswan,ok,False,54.201,0.952190903776182,1.0,50,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/experiments/part2/blackswan,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/experiments/part2/blackswan/part2_inpainted.mp4,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/logs/part2/blackswan.log,
part2,bmx-bumps,ok,False,81.007,0.42775002947967095,0.5777777777777777,90,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/experiments/part2/bmx-bumps,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/experiments/part2/bmx-bumps/part2_inpainted.mp4,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/logs/part2/bmx-bumps.log,
part2,bmx-trees,ok,False,73.725,0.6525556030985834,0.9125,80,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/experiments/part2/bmx-trees,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/experiments/part2/bmx-trees/part2_inpainted.mp4,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/logs/part2/bmx-trees.log,
part2,boat,ok,False,62.05,0.7498586213564091,1.0,75,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/experiments/part2/boat,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/experiments/part2/boat/part2_inpainted.mp4,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/logs/part2/boat.log,
part2,breakdance,ok,False,79.988,0.3486624346263619,0.0,84,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/experiments/part2/breakdance,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/experiments/part2/breakdance/part2_inpainted.mp4,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/logs/part2/breakdance.log,
part2,breakdance-flare,ok,False,77.428,0.956985723811721,1.0,71,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/experiments/part2/breakdance-flare,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/experiments/part2/breakdance-flare/part2_inpainted.mp4,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/logs/part2/breakdance-flare.log,
part2,bus,ok,False,74.391,0.927616388011457,1.0,80,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/experiments/part2/bus,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/experiments/part2/bus/part2_inpainted.mp4,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/logs/part2/bus.log,
part2,camel,ok,False,92.033,0.8408266292685111,1.0,90,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/experiments/part2/camel,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/experiments/part2/camel/part2_inpainted.mp4,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/logs/part2/camel.log,
part2,car-roundabout,ok,False,72.968,0.7920671410933744,0.8533333333333334,75,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/experiments/part2/car-roundabout,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/experiments/part2/car-roundabout/part2_inpainted.mp4,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/logs/part2/car-roundabout.log,
part2,car-shadow,ok,False,38.659,0.9236595148330707,1.0,40,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/experiments/part2/car-shadow,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/experiments/part2/car-shadow/part2_inpainted.mp4,/home/user/AIAA3201_project/outputs/full_davis_suite/main_branch_part12/logs/part2/car-shadow.log,
