experiment,sequence,status,reused,runtime_sec,jm,jr,psnr,ssim,mask_pairs_used,frame_pairs_used,output_dir,output_video,log_path,error
sam3_propainter,dance-jump,ok,False,339.375,0.38193970075968736,0.016666666666666666,,,60,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/dance-jump,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/dance-jump/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_propainter/dance-jump.log,
sam3_propainter,dance-twirl,ok,False,721.874,0.27919940256434933,0.0,,,90,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/dance-twirl,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/dance-twirl/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_propainter/dance-twirl.log,
sam3_propainter,dog,ok,False,67.962,0.957382529941162,1.0,,,60,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/dog,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/dog/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_propainter/dog.log,
sam3_propainter,dog-agility,ok,False,37.807,0.9376151102162698,1.0,,,25,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/dog-agility,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/dog-agility/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_propainter/dog-agility.log,
sam3_propainter,drift-chicane,ok,False,71.674,0.5093084372846829,0.5769230769230769,,,52,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/drift-chicane,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/drift-chicane/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_propainter/drift-chicane.log,
sam3_propainter,drift-straight,ok,False,138.87,0.8586647236819736,0.94,,,50,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/drift-straight,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/drift-straight/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_propainter/drift-straight.log,
sam3_propainter,drift-turn,ok,False,108.313,0.956222935291422,1.0,,,64,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/drift-turn,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/drift-turn/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_propainter/drift-turn.log,
sam3_propainter,elephant,ok,False,105.909,0.9570467857308194,1.0,,,80,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/elephant,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/elephant/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_propainter/elephant.log,
sam3_propainter,flamingo,ok,False,208.51,0.425646876123191,0.0,,,80,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/flamingo,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/flamingo/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_propainter/flamingo.log,
sam3_propainter,goat,ok,False,51.75,0.15176987729887112,0.17777777777777778,,,90,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/goat,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/goat/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_propainter/goat.log,
sam3_propainter,hike,ok,False,108.092,0.6989521832183081,1.0,,,80,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/hike,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/hike/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_propainter/hike.log,
sam3_propainter,hockey,ok,False,89.013,0.8392785273139137,1.0,,,75,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/hockey,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/hockey/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_propainter/hockey.log,
sam3_propainter,horsejump-high,ok,False,112.224,0.9230314717942164,1.0,,,50,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/horsejump-high,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/horsejump-high/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_propainter/horsejump-high.log,
sam3_propainter,horsejump-low,ok,False,135.216,0.8634816013437672,1.0,,,60,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/horsejump-low,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/horsejump-low/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_propainter/horsejump-low.log,
sam3_propainter,kite-surf,ok,False,100.791,0.6729812826174953,1.0,,,50,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/kite-surf,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/kite-surf/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_propainter/kite-surf.log,
sam3_propainter,kite-walk,ok,False,119.037,0.5737731742589203,1.0,,,80,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/kite-walk,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/kite-walk/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_propainter/kite-walk.log,
sam3_propainter,libby,ok,False,58.445,0.0,0.0,,,49,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/libby,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/libby/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_propainter/libby.log,
sam3_propainter,lucia,ok,False,105.498,0.8553773598054821,1.0,,,70,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/lucia,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/lucia/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_propainter/lucia.log,
sam3_propainter,mallard-fly,ok,False,107.938,0.8790119058363653,1.0,,,70,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/mallard-fly,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/mallard-fly/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_propainter/mallard-fly.log,
sam3_propainter,mallard-water,ok,False,111.415,0.9301390581399829,1.0,,,80,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/mallard-water,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/mallard-water/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_propainter/mallard-water.log,
sam3_propainter,motocross-bumps,ok,False,140.509,0.9336067499224187,1.0,,,60,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/motocross-bumps,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/motocross-bumps/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_propainter/motocross-bumps.log,
sam3_propainter,motocross-jump,ok,False,98.251,0.8871480864468072,1.0,,,40,,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/motocross-jump,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/experiments/sam3_propainter/motocross-jump/part3_inpainted.mp4,/home/user/AIAA3201_project/outputs/davis_sam_ablation_suite/logs/sam3_propainter/motocross-jump.log,
